Category: How Segregation Creates Communities of Color in MA,,
Source: UMass Donahue Institute,,
Map: MA Towns by Percent of Residents of Color,,
,,
City/Town,Percent of Residents who are People of Color,Total Population
Lawrence,87%,89143
Chelsea,79%,40787
Revere,54%,62186
Springfield,71%,155929
Lynn,65%,101253
Middleton,15%,9779
Holyoke,58%,38238
Fall River,28%,94000
New Bedford,40%,101079
Methuen,40%,53059
Everett,61%,49075
Saugus,23%,28619
Lowell,58%,115554
Acushnet,7%,10559
Brockton,68%,105643
Haverhill,33%,67787
Fairhaven,9%,15924
Fitchburg,44%,41946
Peabody,21%,54481
Dracut,23%,32617
Berkley,8%,6764
Gardner,21%,21287
West Bridgewater,12%,7707
Swansea,7%,17144
Chicopee,33%,55560
Taunton,25%,59408
Southbridge,42%,17740
Somerset,8%,18303
Hanover,8%,14833
Randolph,72%,34984
Freetown,8%,9206
Raynham,15%,15142
Danvers,12%,28087
Leominster,34%,43782
Ludlow,15%,21002
Dartmouth,14%,33783
Rockland,16%,17803
Tewksbury,13%,31342
Winthrop,20%,19316
Leicester,17%,11087
Abington,16%,17062
Avon,34%,4777
Worcester,50%,206518
Marlborough,36%,41793
East Brookfield,9%,2224
Shirley,25%,7431
East Bridgewater,11%,14440
Middleborough,10%,24245
Dighton,9%,8101
Salem,31%,44480
Webster,23%,17776
Westport,6%,16339
Whitman,13%,15121
Auburn,14%,16889
Clinton,27%,15428
Stoneham,18%,23244
Milford,28%,30379
Templeton,9%,8149
Tyngsborough,19%,12380
Lynnfield,13%,13000
Wilbraham,13%,14613
Stoughton,37%,29281
Braintree,29%,39143
Wilmington,13%,23349
West Springfield,28%,28835
Lakeville,8%,11523
Billerica,20%,42119
West Boylston,16%,7877
Rochester,7%,5717
Millbury,14%,13831
Bridgewater,18%,28633
Ayer,23%,8479
Holbrook,33%,11405
Agawam,14%,28692
Boston,55%,675647
Framingham,40%,72362
Woburn,26%,40876
Kingston,8%,13708
Russell,8%,1643
Hanson,8%,10639
Weymouth,21%,57437
North Andover,21%,30915
Hampden,6%,4966
Winchendon,13%,10364
Charlton,9%,13315
Athol,12%,11945
Palmer,14%,12448
Rehoboth,8%,12502
Seekonk,12%,15531
Northbridge,12%,16335
Plymouth,11%,61217
East Longmeadow,14%,16430
Dudley,18%,11921
North Reading,11%,15554
Nantucket,29%,14255
Millville,7%,3174
Attleboro,24%,46461
Pembroke,7%,18361
Blackstone,10%,9208
Sutton,8%,9357
Malden,58%,66263
Ware,15%,10066
West Brookfield,8%,3833
Wakefield,14%,27090
Carver,8%,11645
Paxton,14%,5004
Bellingham,14%,16945
Oxford,12%,13347
Westminster,10%,8213
Ashburnham,9%,6315
Wareham,17%,23303
Halifax,7%,7749
Westfield,17%,40834
Uxbridge,9%,14162
Medford,32%,59659
Barnstable,21%,48916
Beverly,15%,42670
Spencer,15%,11992
Norton,12%,19202
Dedham,21%,25364
Wrentham,10%,12178
Easton,16%,25058
Sterling,9%,7985
Hudson,19%,20092
Norwood,26%,31611
Monson,8%,8150
Marshfield,6%,25825
Marion,13%,5347
Edgartown,14%,5168
Georgetown,8%,8470
Southwick,9%,9232
Sturbridge,12%,9867
Chelmsford,21%,36392
Mattapoisett,7%,6508
Berlin,9%,3158
Brookfield,8%,3439
Reading,12%,25518
Walpole,16%,26383
Douglas,8%,8983
Milton,28%,28630
Canton,26%,24370
Tisbury,21%,4815
Phillipston,7%,1726
North Brookfield,9%,4735
Ashby,8%,3193
Northborough,23%,15741
North Attleborough,16%,30834
Hopedale,11%,6017
Holland,8%,2603
Foxborough,16%,18618
Rutland,11%,9049
Burlington,29%,26377
Lunenburg,14%,11782
Barre,9%,5530
Salisbury,9%,9236
Waltham,39%,65218
Mansfield,17%,23860
Pittsfield,21%,43927
Groveland,7%,6752
Swampscott,13%,15111
Quincy,45%,101636
Bourne,10%,20452
Plympton,5%,2930
Provincetown,14%,3664
Norfolk,16%,11662
Norwell,8%,11351
Shrewsbury,36%,38325
Brimfield,10%,3694
Orange,12%,7569
Ashland,29%,18832
Holden,13%,19905
Hingham,8%,24284
Granville,6%,1538
Oakham,8%,1851
Granby,12%,6110
Merrimac,8%,6723
Boylston,12%,4849
Topsfield,9%,6569
Warren,9%,4975
Andover,26%,36569
Rowley,6%,6161
Southampton,8%,6224
Wales,6%,1832
Melrose,19%,29817
Nahant,8%,3334
Amesbury,10%,17366
Scituate,6%,19063
Sandwich,8%,20259
Hubbardston,7%,4328
Gloucester,11%,29729
Plainville,14%,9945
Duxbury,7%,16090
North Adams,14%,12961
Franklin,14%,33261
Yarmouth,17%,25023
Lancaster,24%,8441
Huntington,9%,2094
Royalston,5%,1250
Blandford,5%,1215
Westborough,39%,21567
Grafton,20%,19664
Medway,11%,13115
Somerville,33%,81045
Boxford,11%,8203
Townsend,11%,9127
Adams,10%,8166
Clarksburg,5%,1657
Chester,7%,1228
Marblehead,9%,20441
Dunstable,13%,3358
Westwood,17%,16266
Newburyport,8%,18289
Littleton,16%,10141
Longmeadow,16%,15853
Mendon,8%,6228
Mashpee,14%,15060
Belchertown,13%,15350
Essex,7%,3675
Bedford,26%,14383
Watertown,26%,35329
Hopkinton,26%,18758
Dalton,8%,6330
South Hadley,19%,18150
Upton,12%,8000
Cheshire,6%,3258
Hull,8%,10072
Oak Bluffs,23%,5341
Maynard,16%,10746
Falmouth,12%,32517
Dennis,12%,14674
Harwich,10%,13440
Hinsdale,5%,1919
Wenham,11%,4979
Easthampton,14%,16211
Pepperell,11%,11604
Hardwick,8%,2667
Sandisfield,5%,989
Westford,28%,24643
Great Barrington,18%,7172
Ipswich,8%,13785
Holliston,15%,14996
Lee,12%,5788
Southborough,23%,10450
Amherst,38%,39263
Millis,10%,8460
Hamilton,11%,7561
Cohasset,7%,8381
Medfield,12%,12799
Erving,9%,1665
Sunderland,25%,3663
Petersham,6%,1194
Concord,17%,18491
Newbury,6%,6716
Lanesborough,8%,3038
Natick,23%,37006
Winchester,25%,22970
Brewster,9%,10318
Savoy,7%,645
Sharon,32%,18575
West Newbury,8%,4500
Hadley,18%,5325
Groton,14%,11315
Cambridge,44%,118403
Greenfield,17%,17768
Needham,18%,32091
Florida,6%,694
Hatfield,7%,3352
Bolton,12%,5665
Chatham,8%,6594
New Braintree,4%,996
Princeton,7%,3495
Montague,13%,8580
Orleans,7%,6307
Wayland,22%,13943
Newton,29%,88923
Stow,14%,7174
Lenox,10%,5095
New Salem,7%,983
Truro,10%,2454
Chesterfield,7%,1186
Rockport,6%,6992
Dover,18%,5923
Weston,25%,11851
Wellesley,26%,29550
Gosnold,4%,70
Boxborough,32%,5506
Sudbury,18%,18934
Becket,6%,1931
Monroe,2%,118
Manchester,6%,5395
Acton,36%,24021
Whately,7%,1607
Gill,10%,1551
Belmont,30%,27295
Otis,5%,1634
Northampton,21%,29571
Westhampton,6%,1622
Deerfield,13%,5090
Wellfleet,7%,3566
Sherborn,17%,4401
Rowe,7%,424
West Tisbury,11%,3555
Arlington,24%,46308
Eastham,9%,5752
Williamstown,21%,7513
Heath,8%,723
Charlemont,9%,1185
Williamsburg,8%,2504
Bernardston,6%,2102
Colrain,7%,1606
Peru,2%,814
Sheffield,10%,3327
Windsor,6%,831
Cummington,4%,829
Washington,3%,494
Carlisle,20%,5237
Brookline,34%,63191
Plainfield,5%,633
Worthington,6%,1193
Leverett,12%,1865
Lexington,43%,34454
Buckland,7%,1816
Montgomery,4%,819
Leyden,2%,734
Conway,5%,1761
West Stockbridge,8%,1343
Richmond,7%,1407
Northfield,8%,2866
New Ashford,8%,250
Goshen,4%,960
Harvard,21%,6851
Middlefield,4%,385
Stockbridge,6%,2018
Hancock,7%,757
Lincoln,22%,7014
Chilmark,5%,1212
Shelburne,9%,1884
Wendell,9%,924
Tyringham,3%,427
Pelham,13%,1280
Shutesbury,13%,1717
Tolland,9%,471
Mount Washington,2%,160
Warwick,6%,780
Ashfield,7%,1695
Hawley,9%,353
New Marlborough,5%,1528
Monterey,5%,1095
Aquinnah,38%,439
Egremont,8%,1372
Alford,3%,486
Unknown,,
Total,,
